userId,movieId,rating,retailerId
1,1,4.0,5
1,3,4.0,18
1,6,4.0,5
1,47,5.0,18
1,50,5.0,1
1,70,3.0,8
1,101,5.0,5
1,110,4.0,15
1,151,5.0,9
1,157,5.0,3
1,163,5.0,15
1,216,5.0,5
1,223,3.0,6
1,231,5.0,1
1,235,4.0,18
1,260,5.0,15
1,296,3.0,1
1,316,3.0,2
1,333,5.0,20
1,349,4.0,18
1,356,4.0,11
1,362,5.0,15
1,367,4.0,3
1,423,3.0,16
1,441,4.0,2
1,457,5.0,3
1,480,4.0,17
1,500,3.0,15
1,527,5.0,11
1,543,4.0,4
1,552,4.0,20
1,553,5.0,12
1,590,4.0,19
1,592,4.0,4
1,593,4.0,17
1,596,5.0,19
1,608,5.0,1
1,648,3.0,5
1,661,5.0,5
1,673,3.0,9
1,733,4.0,4
1,736,3.0,14
1,780,3.0,2
1,804,4.0,5
1,919,5.0,20
1,923,5.0,17
1,940,5.0,6
1,943,4.0,1
1,954,5.0,14
1,1009,3.0,9
1,1023,5.0,1
1,1024,5.0,16
1,1025,5.0,16
1,1029,5.0,11
1,1030,3.0,19
1,1031,5.0,20
1,1032,5.0,10
1,1042,4.0,11
1,1049,5.0,3
1,1060,4.0,17
1,1073,5.0,20
1,1080,5.0,15
1,1089,5.0,19
1,1090,4.0,11
1,1092,5.0,5
1,1097,5.0,5
1,1127,4.0,8
1,1136,5.0,4
1,1196,5.0,15
1,1197,5.0,9
1,1198,5.0,9
1,1206,5.0,1
1,1208,4.0,13
1,1210,5.0,11
1,1213,5.0,1
1,1214,4.0,1
1,1219,2.0,17
1,1220,5.0,17
1,1222,5.0,5
1,1224,5.0,4
1,1226,5.0,6
1,1240,5.0,6
1,1256,5.0,12
1,1258,3.0,16
1,1265,4.0,6
1,1270,5.0,10
1,1275,5.0,4
1,1278,5.0,6
1,1282,5.0,13
1,1291,5.0,19
1,1298,5.0,3
1,1348,4.0,12
1,1377,3.0,17
1,1396,3.0,6
1,1408,3.0,18
1,1445,3.0,20
1,1473,4.0,4
1,1500,4.0,16
1,1517,5.0,2
1,1552,4.0,16
1,1573,5.0,18
1,1580,3.0,5
1,1587,5.0,20
1,1617,5.0,11
1,1620,4.0,10
1,1625,5.0,5
1,1644,3.0,8
1,1676,3.0,20
1,1732,5.0,2
1,1777,4.0,5
1,1793,4.0,19
1,1804,5.0,8
1,1805,4.0,16
1,1920,4.0,17
1,1927,5.0,11
1,1954,5.0,5
1,1967,4.0,7
1,2000,4.0,14
1,2005,5.0,10
1,2012,4.0,7
1,2018,5.0,12
1,2028,4.0,8
1,2033,5.0,6
1,2046,4.0,11
1,2048,5.0,1
1,2054,4.0,15
1,2058,5.0,13
1,2078,5.0,11
1,2090,5.0,12
1,2093,3.0,7
1,2094,5.0,4
1,2096,4.0,19
1,2099,4.0,12
1,2105,4.0,12
1,2115,5.0,6
1,2116,5.0,1
1,2137,5.0,13
1,2139,5.0,1
1,2141,5.0,19
1,2143,4.0,19
1,2161,5.0,2
1,2174,4.0,20
1,2193,4.0,18
1,2253,2.0,6
1,2268,4.0,3
1,2273,4.0,16
1,2291,5.0,17
1,2329,5.0,2
1,2338,2.0,11
1,2353,5.0,14
1,2366,4.0,19
1,2387,5.0,3
1,2389,2.0,17
1,2395,5.0,14
1,2406,4.0,7
1,2414,3.0,18
1,2427,5.0,8
1,2450,4.0,9
1,2459,5.0,12
1,2470,5.0,7
1,2478,4.0,3
1,2492,4.0,7
1,2502,5.0,11
1,2528,3.0,16
1,2529,5.0,6
1,2542,5.0,12
1,2571,5.0,1
1,2580,5.0,2
1,2596,5.0,20
1,2616,4.0,14
1,2617,2.0,18
1,2628,4.0,15
1,2640,4.0,4
1,2641,5.0,11
1,2644,4.0,15
1,2648,4.0,2
1,2654,5.0,9
1,2657,3.0,3
1,2692,5.0,13
1,2700,5.0,14
1,2716,5.0,12
1,2761,5.0,13
1,2797,4.0,11
1,2826,4.0,4
1,2858,5.0,15
1,2872,5.0,19
1,2899,5.0,13
1,2916,4.0,12
1,2944,5.0,8
1,2947,5.0,13
1,2948,5.0,18
1,2949,5.0,10
1,2959,5.0,12
1,2985,4.0,18
1,2987,5.0,20
1,2991,5.0,13
1,2993,5.0,4
1,2997,4.0,6
1,3033,5.0,12
1,3034,5.0,10
1,3052,5.0,7
1,3053,5.0,13
1,3062,4.0,2
1,3147,5.0,6
1,3168,4.0,17
1,3176,1.0,20
1,3243,3.0,4
1,3247,3.0,14
1,3253,5.0,1
1,3273,5.0,19
1,3386,5.0,16
1,3439,4.0,8
1,3440,4.0,3
1,3441,5.0,4
1,3448,5.0,13
1,3450,5.0,1
1,3479,4.0,1
1,3489,4.0,6
1,3527,4.0,6
1,3578,5.0,18
1,3617,4.0,10
1,3639,4.0,13
1,3671,5.0,17
1,3702,5.0,13
1,3703,5.0,13
1,3729,5.0,12
1,3740,4.0,5
1,3744,4.0,20
1,3793,5.0,16
1,3809,4.0,20
1,4006,4.0,20
1,5060,5.0,7
2,318,3.0,11
2,333,4.0,12
2,1704,4.5,1
2,3578,4.0,11
2,6874,4.0,17
2,8798,3.5,14
2,46970,4.0,17
2,48516,4.0,18
2,58559,4.5,7
2,60756,5.0,4
2,68157,4.5,19
2,71535,3.0,15
2,74458,4.0,8
2,77455,3.0,20
2,79132,4.0,15
2,80489,4.5,17
2,80906,5.0,12
2,86345,4.0,17
2,89774,5.0,15
2,91529,3.5,17
2,91658,2.5,3
2,99114,3.5,8
2,106782,5.0,10
2,109487,3.0,19
2,112552,4.0,12
2,114060,2.0,8
2,115713,3.5,15
2,122882,5.0,18
2,131724,5.0,18
3,31,0.5,3
3,527,0.5,14
3,647,0.5,15
3,688,0.5,6
3,720,0.5,15
3,849,5.0,5
3,914,0.5,18
3,1093,0.5,17
3,1124,0.5,13
3,1263,0.5,20
3,1272,0.5,2
3,1275,3.5,17
3,1302,0.5,15
3,1371,3.0,18
3,1587,4.5,11
3,2018,0.5,15
3,2080,0.5,14
3,2090,0.5,4
3,2105,2.0,1
3,2288,4.0,16
3,2424,0.5,19
3,2851,5.0,6
3,3024,4.5,19
3,3210,0.5,11
3,3703,5.0,5
3,3949,0.5,6
3,4518,5.0,1
3,5048,0.5,15
3,5181,5.0,17
3,5746,5.0,10
3,5764,4.5,7
3,5919,5.0,11
3,6238,0.5,15
3,6835,5.0,5
3,7899,4.5,6
3,7991,5.0,18
3,26409,4.5,5
3,70946,5.0,7
3,72378,0.5,9
4,21,3.0,8
4,32,2.0,13
4,45,3.0,5
4,47,2.0,6
4,52,3.0,13
4,58,3.0,16
4,106,4.0,1
4,125,5.0,12
4,126,1.0,6
4,162,5.0,6
4,171,3.0,7
4,176,5.0,5
4,190,2.0,8
4,215,5.0,14
4,222,1.0,1
4,232,5.0,13
4,235,2.0,8
4,247,3.0,5
4,260,5.0,3
4,265,5.0,11
4,296,1.0,18
4,319,5.0,20
4,342,5.0,17
4,345,4.0,17
4,348,4.0,11
4,351,3.0,1
4,357,3.0,17
4,368,4.0,7
4,417,2.0,16
4,441,1.0,1
4,450,2.0,3
4,457,5.0,9
4,475,5.0,10
4,492,5.0,1
4,509,1.0,20
4,538,5.0,1
4,539,1.0,4
4,553,2.0,14
4,588,4.0,15
4,593,5.0,20
4,595,3.0,12
4,599,2.0,13
4,608,5.0,7
4,648,3.0,8
4,708,4.0,16
4,759,3.0,17
4,800,4.0,16
4,892,4.0,10
4,898,5.0,1
4,899,4.0,7
4,902,4.0,3
4,904,4.0,14
4,908,5.0,9
4,910,5.0,10
4,912,5.0,11
4,914,5.0,20
4,919,5.0,6
4,920,5.0,15
4,930,5.0,7
4,937,3.0,15
4,1025,4.0,1
4,1046,5.0,8
4,1057,3.0,1
4,1060,2.0,6
4,1073,4.0,5
4,1077,5.0,20
4,1079,2.0,10
4,1080,5.0,19
4,1084,5.0,5
4,1086,5.0,4
4,1094,3.0,13
4,1103,5.0,20
4,1136,5.0,8
4,1179,4.0,17
4,1183,1.0,2
4,1188,5.0,20
4,1196,5.0,20
4,1197,5.0,8
4,1198,3.0,7
4,1199,2.0,1
4,1203,5.0,12
4,1211,1.0,15
4,1213,4.0,12
4,1219,4.0,18
4,1225,4.0,10
4,1250,5.0,9
4,1259,4.0,15
4,1265,4.0,19
4,1266,4.0,3
4,1279,2.0,19
4,1282,5.0,5
4,1283,5.0,16
4,1288,4.0,5
4,1291,4.0,1
4,1304,3.0,7
4,1391,1.0,3
4,1449,5.0,11
4,1466,4.0,17
4,1500,4.0,8
4,1517,4.0,9
4,1580,3.0,5
4,1597,1.0,3
4,1617,2.0,15
4,1641,4.0,6
4,1704,1.0,6
4,1719,4.0,4
4,1732,4.0,18
4,1733,5.0,5
4,1734,3.0,17
4,1834,5.0,8
4,1860,2.0,1
4,1883,4.0,18
4,1885,3.0,17
4,1892,2.0,20
4,1895,4.0,7
4,1907,3.0,5
4,1914,4.0,9
4,1916,1.0,16
4,1923,3.0,1
4,1947,5.0,19
4,1966,2.0,20
4,1967,5.0,8
4,1968,4.0,14
4,2019,2.0,8
4,2076,4.0,18
4,2078,5.0,20
4,2109,4.0,5
4,2145,3.0,18
4,2150,5.0,14
4,2174,5.0,17
4,2186,5.0,20
4,2203,4.0,13
4,2204,5.0,18
4,2282,1.0,12
4,2324,1.0,12
4,2336,2.0,20
4,2351,4.0,2
4,2359,4.0,11
4,2390,5.0,2
4,2395,3.0,1
4,2406,4.0,9
4,2467,4.0,17
4,2571,1.0,1
4,2583,5.0,4
4,2599,5.0,6
4,2628,1.0,6
4,2683,4.0,19
4,2692,5.0,3
4,2712,2.0,8
4,2762,4.0,19
4,2763,1.0,19
4,2770,2.0,6
4,2791,5.0,8
4,2843,5.0,5
4,2858,5.0,1
4,2874,4.0,8
4,2921,4.0,18
4,2926,5.0,20
4,2959,2.0,16
4,2973,2.0,13
4,2997,4.0,14
4,3033,4.0,6
4,3044,5.0,11
4,3060,4.0,3
4,3079,3.0,1
4,3083,5.0,19
4,3160,4.0,19
4,3175,1.0,10
4,3176,4.0,16
4,3204,4.0,2
4,3255,4.0,7
4,3317,4.0,1
4,3358,3.0,15
4,3365,5.0,4
4,3386,4.0,12
4,3408,4.0,3
4,3481,2.0,8
4,3489,1.0,11
4,3508,5.0,13
4,3538,2.0,13
4,3591,1.0,14
4,3788,3.0,16
4,3809,3.0,16
4,3851,5.0,19
4,3897,4.0,6
4,3911,3.0,11
4,3967,4.0,5
4,3996,4.0,11
4,4002,3.0,20
4,4014,1.0,5
4,4020,3.0,5
4,4021,4.0,9
4,4027,3.0,14
4,4029,3.0,2
4,4033,4.0,10
4,4034,5.0,15
4,4074,3.0,20
4,4121,4.0,19
4,4144,3.0,20
4,4166,3.0,19
